Run Number,Score,Move Count,Max Tile,Win
385,184,63,64,False
386,200,80,64,False
387,152,59,32,False
388,206,77,64,False
389,250,103,128,False
390,150,55,32,False
391,170,66,64,False
392,138,51,32,False
393,244,93,64,False
394,206,80,64,False
395,296,110,128,False
396,148,61,64,False
397,156,53,64,False
398,148,56,32,False
399,256,105,64,False
400,232,97,64,False
401,130,46,32,False
402,232,92,64,False
403,174,74,32,False
404,150,54,32,False
405,184,62,64,False
406,122,43,32,False
407,254,84,128,False
408,208,77,64,False
409,262,90,128,False
410,214,80,64,False
411,196,76,64,False
412,178,68,64,False
413,150,52,64,False
414,190,70,64,False
415,152,52,64,False
416,176,65,64,False
417,218,95,64,False
418,204,70,64,False
419,244,92,128,False
420,264,115,64,False
421,294,111,128,False
422,170,73,32,False
423,260,100,128,False
424,244,92,64,False
425,260,97,128,False
426,260,93,64,False
427,244,89,64,False
428,184,62,64,False
429,206,79,64,False
430,386,139,128,False
431,158,58,32,False
432,148,55,32,False
433,258,99,64,False
434,130,46,32,False
435,232,84,64,False
436,154,59,32,False
437,152,54,32,False
438,226,88,64,False
439,126,52,32,False
440,216,81,64,False
441,336,134,128,False
442,282,105,128,False
443,326,126,128,False
444,188,71,64,False
445,254,93,128,False
446,276,125,64,False
447,206,73,64,False
448,226,74,64,False
449,158,61,32,False
450,274,103,128,False
451,172,56,64,False
452,180,60,64,False
453,208,73,64,False
454,196,69,64,False
455,194,65,64,False
456,136,46,32,False
457,260,91,64,False
458,260,105,64,False
459,332,116,128,False
460,210,74,64,False
461,206,74,64,False
462,192,73,64,False
463,156,53,32,False
464,170,65,32,False
465,282,110,64,False
466,290,113,128,False
467,142,55,32,False
468,284,94,128,False
469,168,57,32,False
470,148,60,32,False
471,246,104,128,False
472,250,86,128,False
473,136,55,32,False
474,188,66,64,False
475,150,46,32,False
476,152,54,32,False
477,234,90,64,False
478,284,103,128,False
479,194,76,64,False
480,250,96,64,False
481,80,28,16,False
482,210,80,64,False
483,242,94,64,False
484,232,91,64,False
485,202,75,32,False
486,472,171,256,False
487,250,96,128,False
488,278,107,128,False
489,224,90,64,False
490,222,85,128,False
491,338,116,128,False
492,178,70,64,False
493,270,97,64,False
494,190,64,64,False
495,220,79,64,False
496,240,82,64,False
497,182,58,64,False
498,282,103,128,False
499,154,59,32,False
500,162,52,32,False
