Run Number,Score,Move Count,Max Tile,Win
468,346,110,128,False
469,334,108,128,False
470,382,129,128,False
471,454,149,256,False
472,300,103,128,False
473,472,153,256,False
474,316,104,128,False
475,184,56,64,False
476,328,104,128,False
477,296,99,128,False
478,514,165,256,False
479,342,111,128,False
480,456,154,256,False
481,584,193,256,False
482,364,122,128,False
483,532,177,256,False
484,584,188,256,False
485,524,177,256,False
486,576,186,256,False
487,320,107,128,False
488,434,135,256,False
489,298,96,128,False
490,344,114,128,False
491,174,59,32,False
492,132,44,32,False
493,454,151,256,False
494,186,57,64,False
495,738,240,512,False
496,496,159,256,False
497,578,194,256,False
498,234,72,64,False
499,288,93,128,False
500,134,39,32,False
